time,headline,indico_score
2014-04-02T00:00:00Z,How to Explain Bitcoin to Your Mom!,0.5523921264272647
2014-04-06T00:00:00Z,My Bitcoin Befuddlement,0.5638264215898583
2014-04-08T11:50:54Z,"Justice Department Wary of Bitcoin, Attorney General Says",0.5813100655609975
2014-04-08T21:42:53Z,Bitcoin ATM unveiled on Capitol Hill,0.46507197028493913
2014-04-08T21:43:46Z,Bitcoin ATM unveiled on Capitol Hill,0.46507197028493913
2014-04-09T06:09:04Z,"Justice Department Wary of Bitcoin, Attorney General Says",0.5813100655609975
2014-04-09T11:29:17Z,Fla. Bitcoin Case Tests Money Laundering Limits,0.4473127119168151
2014-04-09T18:43:45Z,"Rolex, Art & Money: a day in the life of a bitcoin junkie",0.6680595905290696
2014-04-10T17:57:00Z,Investor Group Offers to Buy Mt. Gox for One Bitcoin: WSJ,0.4336667432634763
2014-04-11T09:47:59Z,China Bitcoin Exchanges Say Certain Banks to Close Their Accounts,0.3825886731519466
2014-04-14T17:41:31Z,Bitcoin Promoter Shrem Indicted in NY for Money Laundering,0.439028925261544
2014-04-16T06:44:10Z,"China Gets First Bitcoin ATM, Skirting Bank Crackdown",0.38962199226545224
2014-04-17T18:42:50Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,0.39753201502668356
2014-04-18T18:32:27Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,0.39753201502668356
2014-04-20T21:27:42Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.690154678155965
2014-04-20T21:27:42Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",0.37741563869210215
2014-04-21T05:04:38Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",0.37741563869210215
2014-04-21T05:04:38Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.690154678155965
2014-04-22T00:55:57Z,"Insight: At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.6642963675235588
2014-04-29T00:23:00Z,Bitcoin Traders Settle Class Actions Over Failed Mt. Gox Exchange,0.34993705032128575
2014-04-29T11:29:50Z,U.S. State Regulators Issue Warnings on Virtual Currency,0.3866619271058098
2014-04-29T17:07:08Z,MIT Undergrads to Get $100 in Bitcoin in Digital Money Trial,0.5929598927954977
2014-05-08T02:36:05Z,Two More Chinese Banks to Close Bitcoin Trading Accounts,0.5034720616758219
2014-05-08T17:45:49Z,Winklevoss Twins to List Bitcoin Fund on Nasdaq,0.46870018615075787
2014-05-08T21:32:59Z,U.S. Election Panel Approves Bitcoin Donations to Political Committees,0.6151174072950403
2014-05-09T00:00:00Z,Election Commission Votes to Allow Bitcoin Donations,0.528590173962437
2014-05-09T17:29:44Z,Colorado Lawmaker to Accept Donations in Bitcoin,0.533809324587169
2014-05-13T12:37:27Z,Bitcoin Needs Regulatory Framework to Change 'Risky' Image,0.6206640093999551
2014-05-16T01:01:26Z,Bitcoin Foundation Hit by Resignations Over New Director,0.5045715682436344
2014-05-17T16:05:05Z,U.S. States Take Lead in Writing Bitcoin Rules,0.5244026566456113
2014-05-19T21:04:32Z,U.S. Authorities Probe Bitcoin Exchanges Over Illegal Transactions: WSJ,0.32732668761090167
2014-05-23T10:04:18Z,Bitcoin ATM Installed at Downtown Vegas Casino,0.5552952627452833
2014-05-29T07:01:20Z,Dish to Become Largest Company to Accept Bitcoin,0.4280048744605159
2014-05-29T10:29:56Z,Dish Network Says It Will Accept Bitcoin,0.466866738537086
2014-06-03T12:41:15Z,Co-owner of Bitcoin-Linked Sites Settles SEC Case,0.6160758987815816
2014-06-03T12:42:42Z,Bitcoin Entrepreneur Settles SEC Charges Over Stock Sales,0.6216049586936865
2014-06-12T17:43:49Z,US Marshals to Auction Seized Bitcoin,0.5069102936786857
2014-06-12T20:53:10Z,U.S. Marshals to Auction Bitcoin Seized in Raid on Silk Road Market,0.5124233379148673
2014-06-13T13:53:40Z,King's College in New York to Accept Bitcoin,0.5162624199463184
2014-06-16T13:12:46Z,Bitcoin Security Firm BitGo Raises $12 Million ,0.5486213833176551
2014-06-17T02:01:24Z,Bitcoin Faces Biggest Threat Yet: a Miner Takeover,0.6049888183043779
2014-06-17T17:39:21Z,Failed Bitcoin Exchange Mt Gox Gets U.S. Bankruptcy Protection,0.31885112045413844
2014-06-18T18:22:08Z,List of Potential Bitcoin Bidders Is Accidentally Released,0.46729370274022414
2014-06-18T21:20:36Z,U.S. Marshals Accidentally Leak Potential Bitcoin Bidders List,0.5093723407069987
2014-06-19T02:52:44Z,Japan's Ruling Party Says Won't Regulate Bitcoin for Now,0.6066387757492935
2014-06-23T23:03:32Z,"California Lawmakers Pass Bill to Update Currency Law, Aid Bitcoin Users",0.5110615964386724
