time,headline,alchemy_score
2014-03-25T18:28:36Z,Andreessen Skewers Buffett for Doubting Bitcoin,0.0
2014-03-26T01:33:53Z,Mt. Gox Says Working With Police in Missing Bitcoin Probe,-0.781909
2014-03-26T09:01:11Z,Start-Up Unveils Bitcoin Payments Product,0.249807
2014-03-26T10:02:44Z,"Taxes Won't Kill Bitcoin, but Tax Reporting Might",-0.498356
2014-03-28T08:07:26Z,"Bitcoin at a 'Fork in the Road,' Analyst Says",-0.429384
2014-03-31T17:49:09Z,Makers of Bitcoin A.T.M.'s See a Not-Quite-Cashless Future,-0.53878
2014-04-01T14:23:53Z,Essay: The Real Competition to Virtual Currency,0.322628
2014-04-01T16:39:54Z,"To Instill Love of Bitcoin, Backers Work to Make It Safe",0.703642
2014-04-01T17:05:44Z,Bitcoin Derivatives Platform BTC Gets Funding From Seedcoin,0.0
2014-04-01T17:27:21Z,Judge Orders Mt Gox CEO to U.S. for Questions on Failed Bitcoin Exchange,-0.246837
2014-04-02T00:00:00Z,How to Explain Bitcoin to Your Mom!,0.0
2014-04-06T00:00:00Z,My Bitcoin Befuddlement,-0.751973
2014-04-08T11:50:54Z,"Justice Department Wary of Bitcoin, Attorney General Says",0.0
2014-04-08T21:42:53Z,Bitcoin ATM unveiled on Capitol Hill,0.0
2014-04-08T21:43:46Z,Bitcoin ATM unveiled on Capitol Hill,0.0
2014-04-09T06:09:04Z,"Justice Department Wary of Bitcoin, Attorney General Says",0.0
2014-04-09T11:29:17Z,Fla. Bitcoin Case Tests Money Laundering Limits,-0.32957
2014-04-09T18:43:45Z,"Rolex, Art & Money: a day in the life of a bitcoin junkie",0.377473
2014-04-10T17:57:00Z,Investor Group Offers to Buy Mt. Gox for One Bitcoin: WSJ,0.0
2014-04-11T09:47:59Z,China Bitcoin Exchanges Say Certain Banks to Close Their Accounts,-0.207151
2014-04-14T17:41:31Z,Bitcoin Promoter Shrem Indicted in NY for Money Laundering,-0.531663
2014-04-16T06:44:10Z,"China Gets First Bitcoin ATM, Skirting Bank Crackdown",-0.374479
2014-04-17T18:42:50Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,0.583413
2014-04-18T18:32:27Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,0.583413
2014-04-20T21:27:42Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.405207
2014-04-20T21:27:42Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",0.0
2014-04-21T05:04:38Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",0.0
2014-04-21T05:04:38Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.405207
2014-04-22T00:55:57Z,"Insight: At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",0.405207
2014-04-29T00:23:00Z,Bitcoin Traders Settle Class Actions Over Failed Mt. Gox Exchange,-0.323643
2014-04-29T11:29:50Z,U.S. State Regulators Issue Warnings on Virtual Currency,-0.425926
2014-04-29T17:07:08Z,MIT Undergrads to Get $100 in Bitcoin in Digital Money Trial,0.0
2014-05-08T02:36:05Z,Two More Chinese Banks to Close Bitcoin Trading Accounts,-0.403101
2014-05-08T17:45:49Z,Winklevoss Twins to List Bitcoin Fund on Nasdaq,0.221062
2014-05-08T21:32:59Z,U.S. Election Panel Approves Bitcoin Donations to Political Committees,0.0
2014-05-09T00:00:00Z,Election Commission Votes to Allow Bitcoin Donations,0.0
2014-05-09T17:29:44Z,Colorado Lawmaker to Accept Donations in Bitcoin,0.413199
2014-05-13T12:37:27Z,Bitcoin Needs Regulatory Framework to Change 'Risky' Image,-0.387788
2014-05-16T01:01:26Z,Bitcoin Foundation Hit by Resignations Over New Director,-0.571439
2014-05-17T16:05:05Z,U.S. States Take Lead in Writing Bitcoin Rules,0.0
2014-05-19T21:04:32Z,U.S. Authorities Probe Bitcoin Exchanges Over Illegal Transactions: WSJ,-0.495422
2014-05-23T10:04:18Z,Bitcoin ATM Installed at Downtown Vegas Casino,0.218808
2014-05-29T07:01:20Z,Dish to Become Largest Company to Accept Bitcoin,0.480595
2014-05-29T10:29:56Z,Dish Network Says It Will Accept Bitcoin,0.48296
2014-06-03T12:41:15Z,Co-owner of Bitcoin-Linked Sites Settles SEC Case,-0.569281
2014-06-03T12:42:42Z,Bitcoin Entrepreneur Settles SEC Charges Over Stock Sales,-0.706926
2014-06-12T17:43:49Z,US Marshals to Auction Seized Bitcoin,-0.33064
2014-06-12T20:53:10Z,U.S. Marshals to Auction Bitcoin Seized in Raid on Silk Road Market,-0.636151
2014-06-13T13:53:40Z,King's College in New York to Accept Bitcoin,0.0
2014-06-16T13:12:46Z,Bitcoin Security Firm BitGo Raises $12 Million ,0.242166
2014-06-17T02:01:24Z,Bitcoin Faces Biggest Threat Yet: a Miner Takeover,-0.575405
2014-06-17T17:39:21Z,Failed Bitcoin Exchange Mt Gox Gets U.S. Bankruptcy Protection,-0.757996
2014-06-18T18:22:08Z,List of Potential Bitcoin Bidders Is Accidentally Released,-0.244355
2014-06-18T21:20:36Z,U.S. Marshals Accidentally Leak Potential Bitcoin Bidders List,-0.400328
2014-06-19T02:52:44Z,Japan's Ruling Party Says Won't Regulate Bitcoin for Now,0.0
2014-06-23T23:03:32Z,"California Lawmakers Pass Bill to Update Currency Law, Aid Bitcoin Users",0.205062
2014-06-26T01:18:14Z,What crackdown? China bitcoin future 'bright': BTC China CEO,-0.0260235
2014-06-28T22:41:40Z,California Governor Signs Bill to Bring Bitcoin and Other Currency Into Fold,-0.239358
2014-06-30T17:47:09Z,"SecondMarket, Pantera Outbid in Bitcoin Auction",-0.59041
2014-06-30T18:59:38Z,"After Bitcoin Auction, Winning Bidders Remain Elusive",0.293347
2014-07-01T11:56:28Z,"One Winner in U.S. Marshals Bitcoin Sale, Identity Not Known",0.0
2014-07-01T16:49:55Z,Bitcoin Auction Had One Winner: U.S. Marshals Service,0.0
2014-07-02T08:49:45Z,Venture Capitalist Draper Wins U.S. Bitcoin Auction,0.405973
2014-07-02T09:31:59Z,"Winner of Bitcoin Auction, Tim Draper, Plans to Expand Currency's Use ",0.20765
2014-07-03T07:33:00Z,Daily Report: Winner of Bitcoin Auction Seeks to Increase Currency's Use in Emerging Markets,0.0
2014-07-03T14:19:19Z,Bitcoin Pioneer Calls for Regulatory Guidance From EU,0.0
2014-07-04T08:54:14Z,EU Executive to Look at Regulating Bitcoin Currency,0.0
2014-07-07T09:19:38Z,French Police Dismantle Illegal Bitcoin Exchange,-0.478933
2014-07-16T16:58:33Z,U.S. Gold Dealer Launches First Digital Currency Backed by Bullion,0.0
2014-07-16T18:26:13Z,Bitcoin 'Mining Pool' Promises to Stay Small,0.328171
