time,headline,sentiment,sentimentValue
2014-06-17T02:01:24Z,Bitcoin Faces Biggest Threat Yet: a Miner Takeover,Neutral,2
2014-06-17T17:39:21Z,Failed Bitcoin Exchange Mt Gox Gets U.S. Bankruptcy Protection,Negative,1
2014-06-18T18:22:08Z,List of Potential Bitcoin Bidders Is Accidentally Released,Neutral,2
2014-06-18T21:20:36Z,U.S. Marshals Accidentally Leak Potential Bitcoin Bidders List,Negative,1
2014-06-19T02:52:44Z,Japan's Ruling Party Says Won't Regulate Bitcoin for Now,Negative,1
2014-06-23T23:03:32Z,"California Lawmakers Pass Bill to Update Currency Law, Aid Bitcoin Users",Negative,1
2014-06-26T01:18:14Z,What crackdown? China bitcoin future 'bright': BTC China CEO,Negative,1
2014-06-28T22:41:40Z,California Governor Signs Bill to Bring Bitcoin and Other Currency Into Fold,Neutral,2
2014-06-30T17:47:09Z,"SecondMarket, Pantera Outbid in Bitcoin Auction",Negative,1
2014-06-30T18:59:38Z,"After Bitcoin Auction, Winning Bidders Remain Elusive",Neutral,2
2014-07-01T11:56:28Z,"One Winner in U.S. Marshals Bitcoin Sale, Identity Not Known",Negative,1
2014-07-01T16:49:55Z,Bitcoin Auction Had One Winner: U.S. Marshals Service,Negative,1
2014-07-02T08:49:45Z,Venture Capitalist Draper Wins U.S. Bitcoin Auction,Negative,1
2014-07-02T09:31:59Z,"Winner of Bitcoin Auction, Tim Draper, Plans to Expand Currency's Use ",Neutral,2
2014-07-03T07:33:00Z,Daily Report: Winner of Bitcoin Auction Seeks to Increase Currency's Use in Emerging Markets,Negative,1
2014-07-03T14:19:19Z,Bitcoin Pioneer Calls for Regulatory Guidance From EU,Negative,1
2014-07-04T08:54:14Z,EU Executive to Look at Regulating Bitcoin Currency,Negative,1
2014-07-07T09:19:38Z,French Police Dismantle Illegal Bitcoin Exchange,Neutral,2
2014-07-16T16:58:33Z,U.S. Gold Dealer Launches First Digital Currency Backed by Bullion,Neutral,2
2014-07-16T18:26:13Z,Bitcoin 'Mining Pool' Promises to Stay Small,Neutral,2
2014-07-17T10:28:30Z,New York Proposes Regulations for Bitcoin,Negative,1
2014-07-17T15:01:19Z,New York Proposes First State Regulations for Bitcoin,Negative,1
2014-07-17T15:18:42Z,Bitcoin Regulation in New York,Negative,1
2014-07-18T15:34:50Z,Dell Begins Accepting Bitcoin,Negative,1
2014-07-28T07:02:37Z,Bitcoin Catches On in Tech-Savvy Romania,Negative,1
2014-07-29T13:55:02Z,Proposed Rules Expose Rifts Among Bitcoin Enthusiasts,Negative,1
2014-07-30T18:48:03Z,Wikipedia Begins Taking Donations in Bitcoin,Negative,1
2014-08-06T09:17:51Z,Bitcoin Foundation Seeks More Time to Address Virtual Currency Rules,Negative,1
2014-08-11T11:47:05Z,U.S. Watchdog Calls Bitcoin 'Wild West' of Finance,Neutral,2
2014-08-11T12:12:19Z,US Agency Warns Consumers About Bitcoin Risks,Neutral,2
2014-08-13T16:56:25Z,Exclusive: Overstock CEO Says Bitcoin Sales to Add 4 Cents to 2014 EPS,Negative,1
2014-08-14T19:31:22Z,"For Merchants, Bitcoin Shows More Pop Than Potential",Negative,1
2014-08-18T15:35:17Z,"Bitcoin's Price Falls 12%, to Lowest Value Since May",Neutral,2
2014-08-19T15:49:32Z,Overstock to Allow International Customers to Pay in Bitcoin,Neutral,2
2014-08-19T18:00:00Z,Owner of Winn-Dixie and Bi-Lo Supermarkets Pulls I.P.O.,Neutral,2
2014-08-19T18:33:43Z,Accused Bitcoin Exchanger Loses Bid to Narrow Criminal Charges,Negative,1
2014-08-20T15:05:32Z,"Chain, a Bitcoin Start-Up, Raises $9.5 Million Led by Khosla Ventures",Neutral,2
2014-08-21T14:29:40Z,More Comments Invited for Proposed Bitcoin Rules,Negative,1
2014-08-25T20:14:38Z,On To-Do List: Deposit Cash in Bitcoin A.T.M.,Negative,1
2014-08-28T01:07:07Z,Bitcoin Shows Staying Power as Online Merchants Chase Digital Sparkle,Negative,1
2014-08-29T00:02:27Z,Ecuador Heralds Digital Currency Plans,Neutral,2
2014-08-29T18:18:35Z,Exclusive-Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,Negative,1
2014-08-29T18:18:49Z,Exclusive: Bitcoin Promoter to Plead Guilty to Unlicensed Money Transmission,Negative,1
2014-08-30T16:40:50Z,Top Bitcoin Proponent to Plead Guilty to Federal Charge,Negative,1
2014-09-01T00:00:00Z,"Hal Finney, Cryptographer and Bitcoin Pioneer, Dies at 58",Negative,1
2014-09-04T02:17:12Z,2 Bitcoin Operators Plead Guilty in Silk Road Case,Negative,1
2014-09-04T17:13:16Z,Bitcoin Promoter Pleads Guilty to Unlicensed Use of Currency,Negative,1
2014-09-04T19:41:39Z,"Charles Shrem, Bitcoin Supporter, Pleads Guilty in Court",Negative,1
2014-09-08T16:40:57Z,"Braintree, Popular Payments Processor, to Accept Bitcoin",Negative,1
2014-09-10T18:02:24Z,Coinbase Extends Bitcoin Access to International Customers,Negative,1
2014-09-11T09:16:33Z,"Bank of England Sees Bitcoin Fraud Risk, Deflation Danger",Neutral,2
2014-09-12T08:48:17Z,Bitcoin Gets Boost as U.S. Watchdog Approves First Swap,Negative,1
2014-09-15T06:33:28Z,Coroner: Bitcoin Exchange CEO Committed Suicide,Neutral,2
2014-09-19T13:01:44Z,U.S. Judge Awards $40.7 Million in SEC Case Over Bitcoin Ponzi Scheme,Neutral,2
2014-09-23T10:43:28Z,U.S. Court Halts Bitcoin Mining Operation Butterfly Labs: FTC,Negative,1
